id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
157,79,2017C,CUATRIMESTRAL,2020/05/22 13:52,1900/01/01 00:00,1900/01/01 00:00
158,79,2017C,CUATRIMESTRAL,2020/05/22 13:52,1900/01/01 00:00,1900/01/01 00:00
159,210,2020B,CUATRIMESTRAL,2020/05/22 21:55,1900/01/01 00:00,1900/01/01 00:00
160,146,2016A,CUATRIMESTRAL ,2020/05/23 12:16,1900/01/01 00:00,1900/01/01 00:00
161,146,2016B,CUATRIMESTRAL ,2020/05/23 12:21,1900/01/01 00:00,1900/01/01 00:00
162,146,2016C,CUATRIMESTRAL ,2020/05/23 12:21,1900/01/01 00:00,1900/01/01 00:00
163,146,2017A,CUATRIMESTRAL ,2020/05/23 12:21,1900/01/01 00:00,1900/01/01 00:00
164,146,2017B,CUATRIMESTRAL ,2020/05/23 12:21,1900/01/01 00:00,1900/01/01 00:00
165,146,2017C,CUATRIMESTRAL ,2020/05/23 12:22,1900/01/01 00:00,1900/01/01 00:00
166,146,2018A,CUATRIMESTRAL ,2020/05/23 12:22,1900/01/01 00:00,1900/01/01 00:00
167,146,2018B,CUATRIMESTRAL ,2020/05/23 12:22,1900/01/01 00:00,1900/01/01 00:00
168,146,2018C,CUATRIMESTRAL ,2020/05/23 12:22,1900/01/01 00:00,1900/01/01 00:00
169,146,2019A,CUATRIMESTRAL ,2020/05/23 12:23,1900/01/01 00:00,1900/01/01 00:00
170,146,2019B,CUATRIMESTRAL ,2020/05/23 12:23,1900/01/01 00:00,1900/01/01 00:00
171,146,2019C,CUATRIMESTRAL ,2020/05/23 12:23,1900/01/01 00:00,1900/01/01 00:00
172,72,2019B,SEMESTRAL,2020/05/27 16:40,1900/01/01 00:00,1900/01/01 00:00
173,72,2020A,SEMESTRAL,2020/06/01 16:49,1900/01/01 00:00,1900/01/01 00:00
174,118,2020A,SEMESTRAL,2020/06/05 11:55,1900/01/01 00:00,1900/01/01 00:00
175,296,2016A,SEMESTRAL,2020/06/09 13:46,1900/01/01 00:00,1900/01/01 00:00
176,296,2016B,SEMESTRAL,2020/06/09 13:47,1900/01/01 00:00,1900/01/01 00:00
177,296,2017A,SEMESTRAL,2020/06/09 13:47,1900/01/01 00:00,1900/01/01 00:00
178,296,2017B,SEMESTRAL,2020/06/09 13:47,1900/01/01 00:00,1900/01/01 00:00
179,296,2018A,SEMESTRAL,2020/06/09 13:47,1900/01/01 00:00,1900/01/01 00:00
180,296,2018B,SEMESTRAL,2020/06/09 13:47,1900/01/01 00:00,1900/01/01 00:00
181,296,2019A,SEMESTRAL,2020/06/09 13:48,1900/01/01 00:00,1900/01/01 00:00
182,296,2019B,SEMESTRAL,2020/06/09 13:48,1900/01/01 00:00,1900/01/01 00:00
183,296,2020A,SEMESTRAL,2020/06/09 13:48,1900/01/01 00:00,1900/01/01 00:00
184,300,2019B,SEMESTRAL,2020/07/16 17:06,1900/01/01 00:00,1900/01/01 00:00
185,300,2020A,SEMESTRAL,2020/07/16 17:06,1900/01/01 00:00,1900/01/01 00:00
186,297,2019B,SEMESTRAL,2020/07/16 17:21,1900/01/01 00:00,1900/01/01 00:00
187,297,2020A,SEMESTRAL,2020/07/16 17:21,1900/01/01 00:00,1900/01/01 00:00
188,273,2015C,CUATRIMESTRAL,2020/07/27 15:21,2020/07/27 15:25,1900/01/01 00:00
189,96,2020B,CUATRIMESTRAL,2020/08/03 19:31,1900/01/01 00:00,1900/01/01 00:00
