id,municipio_id,estado_id,calle,numero_exterior,numero_interior,colonia,codigo_postal,latitud,longitud,created_at,updated_at,deleted_at
183,532,14,Av. Federalismo Sur,47,0,Centro,44100,20.67579741,-103.3544773,2020/01/23 17:28,2020/01/29 16:18
184,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/01/23 17:31,2020/01/29 16:18
185,532,14,Mariano Bárcenas,168,0,Centro,44100,20.67910734,-103.3523288,2020/01/28 11:28,2020/01/28 16:46
186,532,14,Mariano Bárcenas,168,0,Centro,44100,0,0,2020/01/28 11:37,2020/01/28 16:46
187,532,14,Av. Hidalgo,665,0,Centro,44100,20.67710436,-103.3527533,2020/01/28 12:18,2020/01/28 16:22
188,532,14,Cabañas ,8,0,Las Fresas,44360,20.67665557,-103.3367231,2020/02/04 12:15,2022/06/23 12:47
189,532,14,Zaragoza  ,244,0,Centro ,44100,0,0,2020/02/04 12:21,2022/06/23 12:47
190,533,14,Oscar Wilde,5561,0,Jardines Vallarta,45020,20.68187519,-103.4293002,2020/02/07 14:18,2022/01/28 10:23
191,533,14,Fuente Aranzazu,5311,0,Chapalita Las Fuentes,45040,0,0,2020/02/07 16:59,2023/04/17 11:09
192,532,14,Avenida López Mateos 320,320,0,Ladron de Guevara ,44670,20.68738814,-103.3937958,2020/02/11 12:01,2023/05/25 15:40
193,532,14,Av. Eulogio Parra,3113,0,Prados Providencia,44670,0,0,2020/02/11 12:05,2023/06/27 13:24
194,554,14,km.62.0 Carretera Guadalajara - La Barca,s/n,0,centro,45950,20.37656051,-102.934058,2020/02/11 16:07,2021/06/12 12:35
195,532,14,Experiencia,3140,0,SANTA ELENA DE LA CRUZ,44230,20.71444146,-103.3413798,2020/02/11 16:14,2020/06/16 18:28
196,532,14,Av. Vallarta,1944,0,Lafayette,44160,20.67447588,-103.376069,2020/02/17 12:42,2021/07/07 15:45
197,532,14,Av. Vallarta ,1944,0,Lafayette,44160,0,0,2020/02/17 12:50,2021/08/09 13:59
198,532,14,Herrera y Cairo,2835,2A,Fraccionamiento Terranova,44680,20.68388918,-103.3878523,2020/02/20 13:40,2020/02/20 13:49
199,532,14,Calle Venecia,2539,A,Italia Providencia,44648,0,0,2020/02/20 13:42,2020/02/20 13:49
200,533,14,Av. Universidad,700,0,Lomas del Valle,45129,20.70480897,-103.4211892,2020/02/25 16:54,2022/12/16 13:15
201,532,14,Manuel Acuña,1767, ,Rojas Ladron de Guevara,44650,20.68406516,-103.3745946,2020/03/06 17:04,2023/06/13 13:44
202,532,14, ALEJANDRO,3365, ,VALLARTA SAN JORGE,44690,0,0,2020/03/06 17:19,2023/06/13 13:44
203,532,14,Av. Vallarta,1675,0,Americana,44140,20.67421452,-103.3721955,2020/03/10 15:53,2023/06/22 13:44
204,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/03/10 15:58,2020/09/17 15:33
205,532,14,Av. Cruz del Sur,3337,P.A.,Jardines de la Cruz,44950,20.68657621,-103.3733565,2020/03/11 12:03,2022/05/09 11:15
206,533,14,Rio Tuito,725,0,Las Aguilas,45080,0,0,2020/03/11 12:11,2022/09/09 18:24
207,597,14,Av. Manuel Gómez Morín ,325,0,Jardines de la Rivera,47675,20.80911634,-102.7737522,2020/03/12 16:58,2023/08/19 12:38
208,597,14,Av Ricardo Alcalá,435,0,Fraccionamiento Guadalupe,47600,0,0,2020/03/12 17:01,2023/05/24 10:04
209,533,14,Av. Lazaro Cardenas,4681,4,Prados Vallarta,45020,20.67629762,-103.4153809,2020/03/13 11:25,2020/06/25 12:31
210,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/03/13 11:35
211,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/03/13 11:35
