id,ciclo_escolar_id,turno_id,grado_id,descripcion,grupo,generacion,generacion_fecha_inicio,generacion_fecha_fin,created_at,updated_at,deleted_at
99,37,4,3,Tercero cuatrimestre,A,2018B-2019A,2004/01/19,2004/05/19,2020/04/26 22:19,1900/01/01 00:00,1900/01/01 00:00
100,38,4,1,Primer cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/04/27 12:35,2020/05/01 18:32,1900/01/01 00:00
101,38,4,2,Segundo cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/27 14:16,2020/05/19 13:41,1900/01/01 00:00
102,38,4,3,Tercero cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/27 15:22,1900/01/01 00:00,1900/01/01 00:00
103,39,4,1,Primer cuatrimestre,2017C,2017C,2017/08/28,2017/12/08,2020/04/27 15:26,1900/01/01 00:00,2022/02/25 16:59
104,38,4,4,Cuarto cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/27 18:16,1900/01/01 00:00,1900/01/01 00:00
105,38,4,5,Quinto cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/28 11:26,1900/01/01 00:00,1900/01/01 00:00
106,38,4,6,Sexto cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/28 12:05,1900/01/01 00:00,1900/01/01 00:00
107,41,1,1,Primer cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 12:22,2020/05/13 10:11,1900/01/01 00:00
108,38,4,7,Septimo cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/28 12:34,1900/01/01 00:00,1900/01/01 00:00
109,38,4,8,Octavo cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/28 12:50,1900/01/01 00:00,1900/01/01 00:00
110,42,1,2,Segundo cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 13:00,1900/01/01 00:00,1900/01/01 00:00
111,38,4,9,Noveno cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/28 13:14,1900/01/01 00:00,1900/01/01 00:00
112,38,4,10,Decimo cuatrimestre,A,2017A-2020A,2002/01/17,2024/04/20,2020/04/28 13:39,2020/04/28 13:40,1900/01/01 00:00
113,43,4,1,Primer cuatrimestre,A,2018A,2018/01/08,2020/12/11,2020/04/28 14:42,2020/05/04 18:38,1900/01/01 00:00
114,43,4,2,Segundo cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 15:19,2020/04/28 15:26,1900/01/01 00:00
115,43,4,3,Tercero cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 15:24,2020/04/28 15:26,1900/01/01 00:00
116,43,4,4,Cuarto cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 15:33,1900/01/01 00:00,1900/01/01 00:00
117,43,4,5,Quinto cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 15:38,1900/01/01 00:00,1900/01/01 00:00
118,43,4,6,Sexto cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 15:43,1900/01/01 00:00,1900/01/01 00:00
119,43,4,7,Septimo cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 15:48,1900/01/01 00:00,1900/01/01 00:00
120,44,1,3,Tercero cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 16:06,1900/01/01 00:00,1900/01/01 00:00
121,45,4,1,Primer cuatrimestre,A,2018B-2021A,2018/05/07,0000-00-00,2020/04/28 16:17,2020/05/04 15:10,1900/01/01 00:00
122,45,4,2,Segundo cuatrimestre,NO APLICA,2018B-2021A,0000-00-00,0000-00-00,2020/04/28 16:50,2020/05/19 01:52,2021/05/21 15:18
123,45,4,3,Tercero cuatrimestre,NO APLICA,2018B-2021A,0000-00-00,0000-00-00,2020/04/28 17:01,2020/05/19 01:52,2021/05/21 15:18
124,45,4,4,Cuarto cuatrimestre,NO APLICA,2018B-2021A,0000-00-00,0000-00-00,2020/04/28 17:11,2020/05/19 01:53,2021/05/21 15:18
125,45,4,5,Quinto cuatrimestre,NO APLICA,2018B-2021A,0000-00-00,0000-00-00,2020/04/28 17:15,2020/05/19 01:53,2021/05/21 15:18
126,45,4,15,Tercero semestre,A,2018B-2021A,0000-00-00,2024/04/17,2020/04/28 17:20,1900/01/01 00:00,1900/01/01 00:00
127,45,4,6,Sexto cuatrimestre,NO APLICA,2018B-2021A,0000-00-00,0000-00-00,2020/04/28 17:24,2020/05/19 01:53,2021/05/21 15:18
128,46,1,4,Cuarto cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:02,1900/01/01 00:00,1900/01/01 00:00
129,47,4,1,Primer cuatrimestre,A,2018A-2020C,2018/01/08,2020/12/11,2020/04/28 18:05,2020/05/04 12:55,1900/01/01 00:00
130,47,4,2,Segundo cuatrimestre,A,2018A-2020C,0000-00-00,0000-00-00,2020/04/28 18:21,1900/01/01 00:00,1900/01/01 00:00
131,48,1,5,Quinto cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:30,1900/01/01 00:00,1900/01/01 00:00
132,49,1,6,Sexto cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:47,1900/01/01 00:00,1900/01/01 00:00
133,50,1,7,Septimo cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:49,1900/01/01 00:00,1900/01/01 00:00
134,51,1,8,Octavo cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:52,1900/01/01 00:00,1900/01/01 00:00
135,52,1,9,Noveno cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:54,2020/08/31 13:57,1900/01/01 00:00
136,53,1,10,Decimo cuatrimestre,A,2016C-2019C,2016/08/29,2019/12/13,2020/04/28 18:56,1900/01/01 00:00,1900/01/01 00:00
137,21,1,1,Primer cuatrimestre,1,2020A - 2022B,2020/01/02,2022-08-00,2020/04/30 10:56,1900/01/01 00:00,1900/01/01 00:00
138,17,1,1,Primer cuatrimestre,C,2018C - 2021A,2018/08/27,2021-04-00,2020/04/30 11:18,1900/01/01 00:00,1900/01/01 00:00
139,18,1,2,Segundo cuatrimestre,C,2018C - 2021A,2018/08/27,2021-04-00,2020/04/30 12:13,1900/01/01 00:00,1900/01/01 00:00
140,19,1,3,Tercero cuatrimestre,C,2018C - 2021A,2018/08/27,2021-04-00,2020/04/30 15:32,1900/01/01 00:00,1900/01/01 00:00
141,20,1,4,Cuarto cuatrimestre,C,2018C - 2021A,2018/08/27,2021-04-00,2020/04/30 15:48,1900/01/01 00:00,1900/01/01 00:00
142,54,4,14,Segundo semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 19:47,1900/01/01 00:00,1900/01/01 00:00
143,55,4,15,Tercero semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 20:06,1900/01/01 00:00,1900/01/01 00:00
144,56,4,16,Cuarto semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 20:17,1900/01/01 00:00,1900/01/01 00:00
145,57,4,17,Quinto semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 20:23,1900/01/01 00:00,1900/01/01 00:00
146,58,4,18,Sexto semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 20:33,1900/01/01 00:00,1900/01/01 00:00
147,59,4,19,Septimo semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 20:43,1900/01/01 00:00,1900/01/01 00:00
148,60,4,20,Octavo semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/30 20:48,1900/01/01 00:00,1900/01/01 00:00
149,61,4,2,Segundo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/30 22:20,1900/01/01 00:00,1900/01/01 00:00
150,62,4,3,Tercero cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/30 22:55,1900/01/01 00:00,1900/01/01 00:00
151,63,4,4,Cuarto cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 00:15,1900/01/01 00:00,1900/01/01 00:00
152,64,4,5,Quinto cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 01:04,1900/01/01 00:00,1900/01/01 00:00
153,65,4,6,Sexto cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 01:29,1900/01/01 00:00,1900/01/01 00:00
154,66,4,7,Septimo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 09:32,1900/01/01 00:00,1900/01/01 00:00
155,67,4,8,Octavo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 09:56,1900/01/01 00:00,1900/01/01 00:00
156,68,4,9,Noveno cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 10:21,1900/01/01 00:00,1900/01/01 00:00
157,69,4,10,Decimo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/05/01 10:45,1900/01/01 00:00,1900/01/01 00:00
158,70,4,2,Segundo cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/01 18:33,1900/01/01 00:00,1900/01/01 00:00
159,71,4,3,Tercero cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/01 19:02,1900/01/01 00:00,1900/01/01 00:00
160,72,4,4,Cuarto cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/01 19:29,1900/01/01 00:00,1900/01/01 00:00
161,73,1,13,Primer semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 11:16,2020/05/28 16:45,1900/01/01 00:00
162,74,1,14,Segundo semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 11:35,1900/01/01 00:00,1900/01/01 00:00
163,75,1,15,Tercero semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 11:49,1900/01/01 00:00,1900/01/01 00:00
164,76,1,16,Cuarto semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 11:57,1900/01/01 00:00,1900/01/01 00:00
165,77,1,17,Quinto semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 13:51,1900/01/01 00:00,1900/01/01 00:00
166,78,1,18,Sexto semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 14:06,1900/01/01 00:00,1900/01/01 00:00
167,79,1,19,Septimo semestre,A,2016A-2019B,2016/03/07,2020/02/07,2020/05/02 14:20,1900/01/01 00:00,1900/01/01 00:00
168,81,4,13,Primer semestre,A,2016B-2018A,2016/09/05,2018/08/10,2020/05/02 14:52,1900/01/01 00:00,1900/01/01 00:00
169,82,4,14,Segundo semestre,A,2016B-2018A,2016/09/05,2018/08/10,2020/05/02 15:11,1900/01/01 00:00,1900/01/01 00:00
170,83,4,15,Tercero semestre,A,2016B-2018A,2016/09/05,2018/08/10,2020/05/02 15:25,1900/01/01 00:00,1900/01/01 00:00
171,84,4,16,Cuarto semestre,A,2016B-2018A,2016/09/05,2018/08/10,2020/05/02 15:40,1900/01/01 00:00,1900/01/01 00:00
172,85,4,5,Quinto cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/03 11:59,1900/01/01 00:00,1900/01/01 00:00
173,86,4,6,Sexto cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/03 12:41,1900/01/01 00:00,1900/01/01 00:00
174,87,4,7,Septimo cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/03 13:26,1900/01/01 00:00,1900/01/01 00:00
175,88,4,8,Octavo cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/03 15:03,1900/01/01 00:00,1900/01/01 00:00
176,89,4,9,Noveno cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/03 15:47,1900/01/01 00:00,1900/01/01 00:00
177,90,4,10,Decimo cuatrimestre,A,2017A-2020A,2017/01/02,2020/04/24,2020/05/03 16:08,1900/01/01 00:00,1900/01/01 00:00
178,18,1,1,Primer cuatrimestre,A,2019A - 2021B ,2019/01/02,2021-08-00,2020/05/03 16:36,1900/01/01 00:00,1900/01/01 00:00
179,19,1,2,Segundo cuatrimestre,A,2019A - 2021B,2019/01/02,2021-08-00,2020/05/03 18:10,1900/01/01 00:00,1900/01/01 00:00
180,20,1,3,Tercero cuatrimestre,A,2019A - 2021B,2019/01/02,2021-08-00,2020/05/03 18:26,1900/01/01 00:00,1900/01/01 00:00
